target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,mean_years_below_floor,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.75,0.9,0.1,0.15,amount,1,42186.04651162791,0.04218604651162791,0.66,0.6265,0.90015,51957.28796777938,24839.850875937835,5.077,False,False,False,False
0.75,0.9,0.1,0.15,amount,3,42186.04651162791,0.04218604651162791,0.662,0.628,0.9001800000000001,51891.92814892395,24828.445281696473,5.0805,False,False,False,False
0.75,0.9,0.1,0.15,amount,5,42186.04651162791,0.04218604651162791,0.678,0.638,0.9004,52924.22290089169,24779.020300826112,5.081,False,False,False,False
0.75,0.9,0.1,0.15,amount,10,42186.04651162791,0.04218604651162791,0.729,0.6695,0.9011099999999999,54396.3127355031,24596.59132510457,5.08,False,False,False,False
0.75,0.9,0.1,0.15,success_rate,1,42186.04651162791,0.04218604651162791,0.9855,0.7255,0.88802,59476.947270871024,28157.515816571078,4.457,False,True,True,False
0.75,0.9,0.1,0.15,success_rate,3,42186.04651162791,0.04218604651162791,0.9935,0.7105,0.8877200000000001,58966.687732409555,27838.90401789997,4.5645,False,True,True,False
0.75,0.9,0.1,0.15,success_rate,5,42186.04651162791,0.04218604651162791,0.9945,0.698,0.88701,58906.49486421913,27605.080892019745,4.627,False,True,True,False
0.75,0.9,0.1,0.15,success_rate,10,42186.04651162791,0.04218604651162791,0.995,0.6955,0.8852000000000001,58294.4887883394,27128.95689907337,4.7895,False,True,True,False
0.75,0.9,0.1,0.2,amount,1,42186.04651162791,0.04218604651162791,0.702,0.6275,0.89832,51642.416069854444,25542.93517457793,5.0075,False,True,False,False
0.75,0.9,0.1,0.2,amount,3,42186.04651162791,0.04218604651162791,0.7075,0.631,0.89839,51907.86831966022,25479.417000681595,5.0155,False,True,False,False
0.75,0.9,0.1,0.2,amount,5,42186.04651162791,0.04218604651162791,0.727,0.641,0.8985599999999999,52587.864425132226,25433.821193856897,5.029,False,True,False,False
0.75,0.9,0.1,0.2,amount,10,42186.04651162791,0.04218604651162791,0.806,0.6715,0.8986300000000002,55295.11206850507,25213.15175881466,5.101,False,False,False,False
0.75,0.9,0.1,0.2,success_rate,1,42186.04651162791,0.04218604651162791,0.985,0.7205,0.88392,59915.09762053823,28426.62495210084,4.4545,False,True,True,False
0.75,0.9,0.1,0.2,success_rate,3,42186.04651162791,0.04218604651162791,0.993,0.7075,0.8836600000000001,59325.29104261212,28211.586735852048,4.5625,False,True,True,False
0.75,0.9,0.1,0.2,success_rate,5,42186.04651162791,0.04218604651162791,0.994,0.691,0.8828100000000001,59019.9417845413,27937.99423326346,4.6435,False,True,True,False
0.75,0.9,0.1,0.2,success_rate,10,42186.04651162791,0.04218604651162791,0.9945,0.6865,0.8808400000000001,58293.055949423826,27365.177716790084,4.84,False,True,True,False
0.75,0.9,0.1,0.25,amount,1,42186.04651162791,0.04218604651162791,0.7695,0.6455,0.89678,52929.51357564774,26469.659172600965,4.931,False,True,True,False
0.75,0.9,0.1,0.25,amount,3,42186.04651162791,0.04218604651162791,0.779,0.6485,0.8968400000000001,53328.69922462064,26432.82770291233,4.952,False,True,True,False
0.75,0.9,0.1,0.25,amount,5,42186.04651162791,0.04218604651162791,0.801,0.6565,0.8968900000000001,54260.48803010986,26187.730546640225,4.9785,False,True,True,False
0.75,0.9,0.1,0.25,amount,10,42186.04651162791,0.04218604651162791,0.884,0.679,0.89649,56227.51569196138,26036.07282542076,5.063,False,True,False,False
0.75,0.9,0.1,0.25,success_rate,1,42186.04651162791,0.04218604651162791,0.987,0.7155,0.87915,59771.175050633494,28739.253567982665,4.456,False,True,True,False
0.75,0.9,0.1,0.25,success_rate,3,42186.04651162791,0.04218604651162791,0.9925,0.7,0.8788400000000001,59248.0310922567,28457.93001882764,4.5735,False,True,True,False
0.75,0.9,0.1,0.25,success_rate,5,42186.04651162791,0.04218604651162791,0.9935,0.6855,0.8781100000000001,58979.44307287287,28328.106940095084,4.645,False,True,True,False
0.75,0.9,0.1,0.25,success_rate,10,42186.04651162791,0.04218604651162791,0.9935,0.6845,0.8766499999999999,58370.89445052966,27526.36409585329,4.849,False,True,True,False
