target,upper,lower,adj,mode,min_remain,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,init_wd,alloc,years,with_cfs,floor,env
0.8,0.99,0.5,0.1,amount,3,0.04531249999999999,0.876,0.8715,0.9745499999999999,55191.04720314686,34639.47147148518,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.1,amount,5,0.04531249999999999,0.8815,0.875,0.9746666666666668,54840.75188285779,34480.74281777189,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.1,amount,10,0.04531249999999999,0.899,0.885,0.9746333333333334,53441.25586579036,34141.36463476437,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.1,success_rate,1,0.04531249999999999,0.994,0.896,0.9641833333333334,58011.91659749446,36792.29841757411,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.1,success_rate,3,0.04531249999999999,0.9955,0.888,0.9639166666666668,57586.388665998515,35745.7727767874,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.15,amount,1,0.04531249999999999,0.914,0.8955,0.9756166666666667,56168.41115222925,35585.98595533622,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.15,amount,3,0.04531249999999999,0.914,0.894,0.9755666666666667,55947.042724775965,35199.827675014676,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.15,amount,5,0.04531249999999999,0.919,0.8935,0.9754333333333334,55557.40433201498,34741.760429219656,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.15,amount,10,0.04531249999999999,0.9435,0.891,0.9739833333333333,54413.27078932394,33446.33467773427,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.15,success_rate,1,0.04531249999999999,0.993,0.9025,0.9642166666666667,58385.14211320678,37244.085088622705,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.15,success_rate,3,0.04531249999999999,0.9945,0.8935,0.9639166666666668,57992.84690269762,36067.11714583043,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
